t_local,ship_inbound,ship_length,ship_width,ship_draft,ship_sp_abs,ship_sp_rel,ship_acc,ship_blockage,ship_Fr,ship_dist_inst,ship_dist_shore,track_raw_dx,tidal_stage,tidal_current_wrt_ship,channel_top_width,channel_max_depth,channel_mean_depth,channel_cs,depression,H,peak_vel_withship,peak_vel_agship,peak_vel_onshore,peak_vel_offshore,peak_Efmag_long,peak_Efmag_cross,peak_Efmag_total,wave_energy,track_raw_nMC,track_raw_nUSACE
10/12/2017 02:44:43,1,146,24,6.17,6.57,6.66,0.035,0.0223,0.519,307,383,37,0.77,-0.09,659,16.8,9.95,6568,6,12,11,6,10,6,0.84,0.19,0.84,0.02,5,92
10/12/2017 08:13:00,1,210,30,9.5,6.17,6.58,0.161,0.0546,0.548,295,324,46,-1.33,-0.41,592,14.69,8.87,5255,30,50,64,61,23,20,4.59,0.83,4.6,0.25,7,91
10/12/2017 08:36:35,0,243,32,8.79,7,6.72,0.021,0.0539,0.56,268,296,56,-1.35,0.28,591,14.68,8.87,5245,72,96,40,120,66,51,9.15,4.92,9.85,0.9,7,55
10/12/2017 11:04:55,1,294,32,10.67,6.76,6.01,0.013,0.0583,0.484,320,369,65,-0.28,0.75,627,15.75,9.38,5892,26,44,39,59,15,16,3.96,1.07,3.97,0.29,6,54
10/12/2017 15:07:57,1,325,43,10.26,6.44,6.47,0.033,0.0648,0.499,347,426,66,1.09,-0.04,663,17.12,10.21,6780,30,55,52,57,20,14,9.2,1.74,9.22,0.46,6,46
10/12/2017 17:16:46,0,173,26,9.75,8.27,7.3,-0.149,0.0394,0.576,271,336,49,0.38,0.97,646,16.41,9.76,6311,35,54,6,51,31,28,3.58,4.3,4.33,0.35,6,70
10/13/2017 00:41:22,0,210,30,10.16,6.72,7.36,-0.011,0.0497,0.584,278,338,123,0.16,-0.64,640,16.19,9.62,6170,45,64,24,83,36,41,12.76,5.33,13.44,0.79,7,25
10/13/2017 04:11:54,1,333,43,10.97,7.44,7.81,0.249,0.0714,0.608,291,367,437,0.78,-0.37,659,16.81,9.96,6573,103,155,104,140,64,92,49.33,28.13,56.48,2.88,7,0
10/13/2017 10:04:37,0,320,43,10.19,6.55,6.7,-0.128,0.0813,0.554,256,287,36,-1.13,-0.15,596,14.89,9,5372,139,181,73,199,100,74,21.14,9.22,22.89,3.17,7,100
10/13/2017 15:15:45,1,335,46,12.57,6.41,5.85,-0.092,0.0842,0.45,298,377,456,1.18,0.56,668,17.21,10.22,6837,47,85,65,89,36,24,15.94,5.75,16.2,1.04,7,0
10/13/2017 18:31:32,0,172,28,8.97,7.38,6.41,0.157,0.0384,0.502,271,342,480,0.62,0.96,653,16.64,9.89,6466,17,30,5,28,15,13,2.76,0.96,2.78,0.11,6,0
10/13/2017 22:13:42,0,183,30,7.01,7.22,6.83,-0.018,0.0376,0.56,277,312,45,-0.85,0.39,604,15.18,9.17,5542,31,44,12,52,25,26,2,1.9,2.6,0.2,7,82
10/13/2017 23:15:13,1,204,32,8.53,6.51,6.24,0.026,0.0494,0.51,262,299,65,-0.79,0.28,606,15.24,9.19,5578,48,74,62,83,45,33,9.94,3.38,10.06,0.43,7,41
10/14/2017 02:31:39,0,212,30,8.89,6.33,6.88,0.034,0.0409,0.538,272,344,70,0.62,-0.55,654,16.65,9.89,6471,25,43,15,50,22,19,5.99,1.79,6.02,0.3,7,41
10/14/2017 04:52:10,1,220,32,8.59,7.03,7.11,0.09,0.041,0.549,272,351,64,1.09,-0.08,663,17.12,10.2,6778,19,35,33,35,14,14,4.84,1.19,4.91,0.15,6,58
10/14/2017 08:22:56,1,193,28,8.86,5.31,6.17,0.094,0.0411,0.494,291,344,42,-0.12,-0.86,632,15.91,9.47,5992,16,24,18,35,11,7,3.13,0.53,3.18,0.11,9,86
10/14/2017 08:44:05,0,285,40,11.58,6.94,6.08,0.133,0.0789,0.489,279,327,472,-0.31,0.87,627,15.72,9.36,5874,48,72,31,77,38,34,6.71,3.9,7.28,0.42,6,0
10/14/2017 09:49:55,1,270,35,9.35,6.4,6.84,0.107,0.0589,0.56,273,309,62,-0.82,-0.44,604,15.2,9.18,5558,85,135,97,109,103,38,18.55,10.29,18.68,1.46,7,51
